Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
2,Afghanistan,2511,Wheat and products,5611,Import Quantity,2018,2018,1000 tonnes,3376,Im
2,Afghanistan,2511,Wheat and products,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
2,Afghanistan,2807,Rice and products,5611,Import Quantity,2018,2018,1000 tonnes,425,Im
2,Afghanistan,2807,Rice and products,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
2,Afghanistan,2513,Barley and products,5611,Import Quantity,2018,2018,1000 tonnes,18,Im
2,Afghanistan,2513,Barley and products,5911,Export Quantity,2018,2018,1000 tonnes,2,Im
2,Afghanistan,2514,Maize and products,5611,Import Quantity,2018,2018,1000 tonnes,57,Im
2,Afghanistan,2514,Maize and products,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
2,Afghanistan,2517,Millet and products,5611,Import Quantity,2018,2018,1000 tonnes,1,Im
2,Afghanistan,2517,Millet and products,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
2,Afghanistan,2518,Sorghum and products,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
2,Afghanistan,2546,Beans,5611,Import Quantity,2018,2018,1000 tonnes,48,Im
2,Afghanistan,2546,Beans,5911,Export Quantity,2018,2018,1000 tonnes,54,Im
2,Afghanistan,2555,Soyabeans,5611,Import Quantity,2018,2018,1000 tonnes,0,Im
2,Afghanistan,2555,Soyabeans,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
2,Afghanistan,2558,Rape and Mustardseed,5611,Import Quantity,2018,2018,1000 tonnes,0,Im
2,Afghanistan,2558,Rape and Mustardseed,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
2,Afghanistan,2559,Cottonseed,5611,Import Quantity,2018,2018,1000 tonnes,0,Im
3,Albania,2511,Wheat and products,5611,Import Quantity,2018,2018,1000 tonnes,267,Im
3,Albania,2511,Wheat and products,5911,Export Quantity,2018,2018,1000 tonnes,2,Im
3,Albania,2807,Rice and products,5611,Import Quantity,2018,2018,1000 tonnes,38,Im
3,Albania,2807,Rice and products,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
3,Albania,2513,Barley and products,5611,Import Quantity,2018,2018,1000 tonnes,7,Im
3,Albania,2514,Maize and products,5611,Import Quantity,2018,2018,1000 tonnes,85,Im
3,Albania,2546,Beans,5611,Import Quantity,2018,2018,1000 tonnes,0,Im
3,Albania,2555,Soyabeans,5611,Import Quantity,2018,2018,1000 tonnes,0,Im
3,Albania,2558,Rape and Mustardseed,5611,Import Quantity,2018,2018,1000 tonnes,0,Im
4,Algeria,2511,Wheat and products,5611,Import Quantity,2018,2018,1000 tonnes,8434,Im
4,Algeria,2511,Wheat and products,5911,Export Quantity,2018,2018,1000 tonnes,17,Im
4,Algeria,2807,Rice and products,5611,Import Quantity,2018,2018,1000 tonnes,207,Im
4,Algeria,2807,Rice and products,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
4,Algeria,2513,Barley and products,5611,Import Quantity,2018,2018,1000 tonnes,402,Im
4,Algeria,2513,Barley and products,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
4,Algeria,2514,Maize and products,5611,Import Quantity,2018,2018,1000 tonnes,4126,Im
4,Algeria,2514,Maize and products,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
4,Algeria,2517,Millet and products,5611,Import Quantity,2018,2018,1000 tonnes,4,Im
4,Algeria,2518,Sorghum and products,5611,Import Quantity,2018,2018,1000 tonnes,0,Im
4,Algeria,2546,Beans,5611,Import Quantity,2018,2018,1000 tonnes,65,Im
4,Algeria,2546,Beans,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
4,Algeria,2555,Soyabeans,5611,Import Quantity,2018,2018,1000 tonnes,33,Im
4,Algeria,2558,Rape and Mustardseed,5611,Import Quantity,2018,2018,1000 tonnes,2,Im
4,Algeria,2558,Rape and Mustardseed,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
4,Algeria,2559,Cottonseed,5611,Import Quantity,2018,2018,1000 tonnes,0,Im
7,Angola,2511,Wheat and products,5611,Import Quantity,2018,2018,1000 tonnes,1199,Im
7,Angola,2511,Wheat and products,5911,Export Quantity,2018,2018,1000 tonnes,15,Im
7,Angola,2807,Rice and products,5611,Import Quantity,2018,2018,1000 tonnes,716,Im
7,Angola,2807,Rice and products,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
7,Angola,2513,Barley and products,5611,Import Quantity,2018,2018,1000 tonnes,0,Im
7,Angola,2513,Barley and products,5911,Export Quantity,2018,2018,1000 tonnes,0,Im
7,Angola,2514,Maize and products,5611,Import Quantity,2018,2018,1000 tonnes,232,Im
7,Angola,2514,Maize and products,5911,Export Quantity,2018,2018,1000 tonnes,1,Im
