Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
2,Afghanistan,866,Cattle,5608,Import Quantity,2018,2018,Head,835,NA
2,Afghanistan,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,12297,NA
2,Afghanistan,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,0,*
2,Afghanistan,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,41286,NA
2,Afghanistan,1016,Goats,5608,Import Quantity,2018,2018,Head,100,*
2,Afghanistan,1034,Pigs,5608,Import Quantity,2018,2018,Head,374,*
2,Afghanistan,976,Sheep,5908,Export Quantity,2018,2018,Head,71471,R
3,Albania,866,Cattle,5608,Import Quantity,2018,2018,Head,13351,NA
3,Albania,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,4700,NA
3,Albania,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,347,NA
3,Albania,1034,Pigs,5608,Import Quantity,2018,2018,Head,55430,NA
3,Albania,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,119,NA
4,Algeria,866,Cattle,5608,Import Quantity,2018,2018,Head,72721,R
4,Algeria,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,5838,R
4,Algeria,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,94,R
4,Algeria,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,39,*
4,Algeria,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,550,R
7,Angola,866,Cattle,5608,Import Quantity,2018,2018,Head,4672,R
7,Angola,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,1898,R
7,Angola,1016,Goats,5608,Import Quantity,2018,2018,Head,697,R
7,Angola,1074,"Offals, liver geese",5610,Import Quantity,2018,2018,tonnes,1,*
7,Angola,1034,Pigs,5608,Import Quantity,2018,2018,Head,363,R
7,Angola,1140,Rabbits and hares,5609,Import Quantity,2018,2018,1000 Head,0,*
7,Angola,976,Sheep,5608,Import Quantity,2018,2018,Head,450,R
7,Angola,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,0,*
8,Antigua and Barbuda,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,24,NA
8,Antigua and Barbuda,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,1,NA
8,Antigua and Barbuda,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,25,NA
8,Antigua and Barbuda,1068,Ducks,5909,Export Quantity,2018,2018,1000 Head,0,NA
8,Antigua and Barbuda,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,45,NA
8,Antigua and Barbuda,1016,Goats,5608,Import Quantity,2018,2018,Head,14,NA
8,Antigua and Barbuda,1016,Goats,5908,Export Quantity,2018,2018,Head,6,NA
8,Antigua and Barbuda,1074,"Offals, liver geese",5610,Import Quantity,2018,2018,tonnes,0,NA
8,Antigua and Barbuda,1034,Pigs,5908,Export Quantity,2018,2018,Head,2,NA
8,Antigua and Barbuda,976,Sheep,5608,Import Quantity,2018,2018,Head,11,NA
8,Antigua and Barbuda,976,Sheep,5908,Export Quantity,2018,2018,Head,33,NA
8,Antigua and Barbuda,1079,Turkeys,5609,Import Quantity,2018,2018,1000 Head,0,NA
9,Argentina,866,Cattle,5608,Import Quantity,2018,2018,Head,515,NA
9,Argentina,866,Cattle,5908,Export Quantity,2018,2018,Head,208,NA
9,Argentina,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,626,NA
9,Argentina,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,19,NA
9,Argentina,1016,Goats,5608,Import Quantity,2018,2018,Head,5,NA
9,Argentina,1034,Pigs,5608,Import Quantity,2018,2018,Head,6828,NA
9,Argentina,976,Sheep,5608,Import Quantity,2018,2018,Head,36,NA
9,Argentina,976,Sheep,5908,Export Quantity,2018,2018,Head,26,NA
1,Armenia,866,Cattle,5608,Import Quantity,2018,2018,Head,485,R
1,Armenia,866,Cattle,5908,Export Quantity,2018,2018,Head,2601,NA
1,Armenia,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,7381,NA
1,Armenia,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,29,NA
1,Armenia,1034,Pigs,5608,Import Quantity,2018,2018,Head,2,NA
1,Armenia,976,Sheep,5608,Import Quantity,2018,2018,Head,18024,NA
1,Armenia,976,Sheep,5908,Export Quantity,2018,2018,Head,11808,NA
1,Armenia,1079,Turkeys,5909,Export Quantity,2018,2018,1000 Head,19,NA
10,Australia,866,Cattle,5908,Export Quantity,2018,2018,Head,1138124,NA
10,Australia,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,1036,NA
10,Australia,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,697,NA
10,Australia,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,1608,NA
10,Australia,1016,Goats,5908,Export Quantity,2018,2018,Head,23413,NA
10,Australia,976,Sheep,5908,Export Quantity,2018,2018,Head,1214475,NA
10,Australia,1079,Turkeys,5909,Export Quantity,2018,2018,1000 Head,4,NA
11,Austria,866,Cattle,5608,Import Quantity,2018,2018,Head,106179,NA
11,Austria,866,Cattle,5908,Export Quantity,2018,2018,Head,101587,NA
11,Austria,1057,Chickens,5609,Import Quantity,2018,2018,1000 Head,16343,NA
11,Austria,1057,Chickens,5909,Export Quantity,2018,2018,1000 Head,14384,NA
11,Austria,1068,Ducks,5609,Import Quantity,2018,2018,1000 Head,9,NA
11,Austria,1062,"Eggs, hen, in shell",5610,Import Quantity,2018,2018,tonnes,26958,NA
11,Austria,1062,"Eggs, hen, in shell",5910,Export Quantity,2018,2018,tonnes,3554,NA
